Origin,Destination,Via_Hub,Fare_Udeung,Remarks
강진,신의(상태),특수,19600,"선박실비 / 전라남도 섬지역 여객선 운임 지원 조례 적용 시 1,000원"
신의(상태),강진,특수,19600,"선박실비 / 전라남도 섬지역 여객선 운임 지원 조례 적용 시 1,000원"
강진,장도,특수,19900,"선박실비 / 전라남도 섬지역 여객선 운임 지원 조례 적용 시 1,000원"
장도,강진,특수,19900,"선박실비 / 전라남도 섬지역 여객선 운임 지원 조례 적용 시 1,000원"
강진,흑산도,특수,42100,"선박실비 / 전라남도 섬지역 여객선 운임 지원 조례 적용 시 1,000원"
흑산도,강진,특수,42100,"선박실비 / 전라남도 섬지역 여객선 운임 지원 조례 적용 시 1,000원"
강진,홍도,특수,49800,"선박실비 / 전라남도 섬지역 여객선 운임 지원 조례 적용 시 1,000원"
홍도,강진,특수,49800,"선박실비 / 전라남도 섬지역 여객선 운임 지원 조례 적용 시 1,000원"
강진,청산도,특수,16000,"선박실비 / 전라남도 섬지역 여객선 운임 지원 조례 적용 시 1,000원"
청산도,강진,특수,16000,"선박실비 / 전라남도 섬지역 여객선 운임 지원 조례 적용 시 1,000원"
강진,노화도,특수,13800,"선박실비 / 전라남도 섬지역 여객선 운임 지원 조례 적용 시 1,000원"
노화도,강진,특수,13800,"선박실비 / 전라남도 섬지역 여객선 운임 지원 조례 적용 시 1,000원"
강진,소안도,특수,15000,"선박실비 / 전라남도 섬지역 여객선 운임 지원 조례 적용 시 1,000원"
소안도,강진,특수,15000,"선박실비 / 전라남도 섬지역 여객선 운임 지원 조례 적용 시 1,000원"
강진,보길도,특수,13800,"선박실비 / 전라남도 섬지역 여객선 운임 지원 조례 적용 시 1,000원"
보길도,강진,특수,13800,"선박실비 / 전라남도 섬지역 여객선 운임 지원 조례 적용 시 1,000원"
강진,조도(하조도),특수,14500,"선박실비 / 전라남도 섬지역 여객선 운임 지원 조례 적용 시 1,000원"
조도(하조도),강진,특수,14500,"선박실비 / 전라남도 섬지역 여객선 운임 지원 조례 적용 시 1,000원"
강진,관매도,특수,21300,"선박실비 / 전라남도 섬지역 여객선 운임 지원 조례 적용 시 1,000원"
관매도,강진,특수,21300,"선박실비 / 전라남도 섬지역 여객선 운임 지원 조례 적용 시 1,000원"
강진,거문도,특수,54600,"선박실비 / 전라남도 섬지역 여객선 운임 지원 조례 적용 시 1,000원"
거문도,강진,특수,54600,"선박실비 / 전라남도 섬지역 여객선 운임 지원 조례 적용 시 1,000원"
강진,금오도,특수,28000,"선박실비 / 전라남도 섬지역 여객선 운임 지원 조례 적용 시 1,000원"
금오도,강진,특수,28000,"선박실비 / 전라남도 섬지역 여객선 운임 지원 조례 적용 시 1,000원"
강진,개도,특수,27500,"선박실비 / 전라남도 섬지역 여객선 운임 지원 조례 적용 시 1,000원"
개도,강진,특수,27500,"선박실비 / 전라남도 섬지역 여객선 운임 지원 조례 적용 시 1,000원"
해남,압해,특수,10700,농어촌버스 요금 보전(맥시멈)
압해,해남,특수,10700,농어촌버스 요금 보전(맥시멈)
해남,암태,특수,10700,농어촌버스 요금 보전(맥시멈)
암태,해남,특수,10700,농어촌버스 요금 보전(맥시멈)
해남,자은,특수,10700,농어촌버스 요금 보전(맥시멈)
자은,해남,특수,10700,농어촌버스 요금 보전(맥시멈)
해남,팔금,특수,10700,농어촌버스 요금 보전(맥시멈)
팔금,해남,특수,10700,농어촌버스 요금 보전(맥시멈)
해남,안좌,특수,10700,농어촌버스 요금 보전(맥시멈)
안좌,해남,특수,10700,농어촌버스 요금 보전(맥시멈)
해남,지도,특수,10700,농어촌버스 요금 보전(맥시멈)
지도,해남,특수,10700,농어촌버스 요금 보전(맥시멈)
해남,증도,특수,10700,농어촌버스 요금 보전(맥시멈)
증도,해남,특수,10700,농어촌버스 요금 보전(맥시멈)
해남,임자,특수,10700,농어촌버스 요금 보전(맥시멈)
임자,해남,특수,10700,농어촌버스 요금 보전(맥시멈)
